Period ,Appodeal,Applovin,Ad Revenue,Rate,Ad Revenue (RUB),Read Episode,Rev per Episode
January 2019,6506.9,,6506.9,67.35,"438,239.72",5656437,0.08
February 2019,6136.93,,6136.93,65.87,"404,239.58",6480211,0.06
March 2019,8139.9,,8139.9,65.15,"530,314.49",8664934,0.06
April 2019,13711.16,,13711.16,64.62,"886,015.16",10879930,0.08
May 2019,11285.38,,11285.38,64.82,"731,518.33",11050352,0.07
June 2019,17899.06,,17899.06,64.29,"1,150,730.57",11469332,0.10
July 2019,14902.09,,14902.09,63.2,"941,812.09",10813527,0.09
August 2019,13154.36,,13154.36,65.53,"862,005.21",8834618,0.10
September 2019,16363.68,,16363.68,64.99,"1,063,475.56",6820666,0.16
October 2019,16846.63,,16846.63,64.36,"1,084,249.11",7905412,0.14
November 2019,18663.14,,18663.14,63.87,"1,192,014.75",7964004,0.15
December 2019,19405.55,,19405.55,62.94,"1,221,385.32",7578091,0.16
January 2020,15304.57,,15304.57,61.78,"945,516.33",8941357,0.11
February 2020,16395.41,,16395.41,63.88,"1,047,338.79",8682507,0.12
March 2020,16340.07,,16340.07,73.32,"1,198,053.93",9451434,0.13
April 2020,12727.87,,12727.87,75.23,"957,517.66",9265024,0.10
May 2020,14163.54,,14163.54,72.68,"1,029,406.09",9376319,0.11
June 2020,12368.2,,12368.2,69.22,"856,126.80",7636489,0.11
July 2020,8942.8,,8942.8,71.29,"637,532.21",5978481,0.11
August 2020,6960.13,,6960.13,73.8,"513,657.59",4696878,0.11
September 2020,6535.15,,6535.15,75.66,"494,449.45",3813185,0.13
October 2020,7711.19,,7711.19,77.59,"598,311.23",4410227,0.14
November 2020,5167.98,3452.9,8620.88,77.04,"664,152.60",4213683,0.16
December 2020,1641.98,10276.77,11918.75,74.05,"882,583.44",3921553,0.23
January 2021,335.91,3541.21,3877.12,73.93,"286,635.48",1692149,0.17
